location-to,date,partygroup,count
Melbourne,02/04/2014,Coalition,10
Perth,02/04/2014,Coalition,2
Perth,02/04/2014,Greens,2
Perth,02/04/2014,Labor,4
Sydney,02/04/2014,Labor,5
Sydney,02/04/2014,Coalition,9
Brisbane,03/04/2014,Labor,3
Coolangatta,03/04/2014,Coalition,2
Esperance,03/04/2014,Coalition,2
Hobart,03/04/2014,Labor,2
Melbourne,03/04/2014,Labor,2
Melbourne,03/04/2014,Coalition,10
Mount Isa,03/04/2014,Coalition,4
Perth,03/04/2014,Coalition,2
Perth,03/04/2014,Labor,2
Sydney,03/04/2014,Labor,4
Sydney,03/04/2014,Coalition,10
Townsville,03/04/2014,Coalition,4
Adelaide,04/04/2014,Coalition,2
Brisbane,04/04/2014,Labor,2
Cairns,04/04/2014,CLP,2
Hobart,04/04/2014,Coalition,3
Melbourne,04/04/2014,Coalition,2
Melbourne,04/04/2014,Labor,5
Perth,04/04/2014,Coalition,2
Perth,04/04/2014,Labor,2
Perth,04/04/2014,Greens,3
Sydney,04/04/2014,Labor,5
Sydney,04/04/2014,Coalition,7
Brisbane,05/04/2014,Coalition,2
Cairns,05/04/2014,Coalition,2
Horn Island,05/04/2014,CLP,2
Melbourne,05/04/2014,Labor,2
Melbourne,05/04/2014,Coalition,3
Sydney,05/04/2014,Coalition,3
Brisbane,06/04/2014,Coalition,2
Hobart,06/04/2014,Coalition,2
Horn Island,06/04/2014,Coalition,2
Melbourne,06/04/2014,Labor,3
Perth,06/04/2014,Coalition,6
Brisbane,07/04/2014,Coalition,2
Brisbane,07/04/2014,Labor,2
Melbourne,07/04/2014,Labor,2
Melbourne,07/04/2014,Coalition,4
Perth,07/04/2014,Coalition,3
Sydney,07/04/2014,Labor,2
Sydney,07/04/2014,Coalition,5
Adelaide,08/04/2014,Coalition,5
Karratha,08/04/2014,Labor,4
Karratha,08/04/2014,Coalition,6
Melbourne,08/04/2014,Coalition,6
